FNC_EV_ID,FNC_EV_AC_ID,FNC_EV_AMT
1,201987502675213,469.66
2,201987502675213,431.55
3,3577150091333880,326.60
4,201987502675213,821.82
5,201987502675213,156.29
6,3577150091333880,688.50
7,3577150091333880,652.99
8,3577150091333880,421.45
9,201987502675213,467.99
10,3577150091333880,617.54
11,201987502675213,166.10
12,201987502675213,584.52
13,3577150091333880,703.56
14,201987502675213,988.81
15,201987502675213,416.48
16,201987502675213,602.55
17,201987502675213,591.02
18,201987502675213,140.97
19,201987502675213,768.61
20,201987502675213,431.16
21,3577150091333880,312.90
22,201987502675213,201.12
23,201987502675213,787.56
24,201987502675213,336.37
25,3577150091333880,699.25
26,201987502675213,528.01
27,3577150091333880,528.89
28,201987502675213,575.10
29,3577150091333880,157.26
30,201987502675213,683.33
31,3577150091333880,329.01
32,3577150091333880,312.66
33,3577150091333880,553.68
34,201987502675213,951.79
35,3577150091333880,794.42
36,3577150091333880,377.59
37,201987502675213,359.68
38,201987502675213,576.87
39,3577150091333880,889.34
40,3577150091333880,560.64
41,201987502675213,593.49
42,201987502675213,946.58
43,201987502675213,991.09
44,201987502675213,644.10
45,201987502675213,859.72
46,201987502675213,332.49
47,3577150091333880,302.68
48,201987502675213,871.22
49,201987502675213,728.09
50,3577150091333880,342.32
51,3577150091333880,437.38
52,3577150091333880,146.50
53,3577150091333880,949.66
54,201987502675213,291.23
55,3577150091333880,996.02
56,201987502675213,196.58
57,201987502675213,916.84
58,201987502675213,526.69
59,3577150091333880,203.77
60,201987502675213,942.79
61,201987502675213,510.75
62,3577150091333880,165.15
63,3577150091333880,562.83
64,3577150091333880,807.74
65,3577150091333880,835.90
66,201987502675213,390.21
67,3577150091333880,415.21
68,3577150091333880,599.01
69,3577150091333880,652.90
70,201987502675213,893.48
71,3577150091333880,450.90
72,201987502675213,917.66
73,3577150091333880,244.00
74,3577150091333880,635.53
75,3577150091333880,120.13
76,201987502675213,473.18
77,201987502675213,846.06
78,3577150091333880,452.04
79,201987502675213,366.21
80,201987502675213,143.72
81,201987502675213,966.17
82,201987502675213,186.87
83,3577150091333880,200.83
84,201987502675213,820.57
85,201987502675213,131.28
86,201987502675213,544.59
87,3577150091333880,172.50
88,3577150091333880,736.47
89,201987502675213,977.80
90,3577150091333880,474.63
91,201987502675213,101.23
92,201987502675213,891.96
93,201987502675213,763.51
94,201987502675213,961.64
95,3577150091333880,133.68
96,3577150091333880,578.95
97,3577150091333880,227.64
98,3577150091333880,104.51
99,201987502675213,892.72
100,201987502675213,371.75
101,3577150091333880,970.10
102,3577150091333880,315.76
103,201987502675213,181.45
104,3577150091333880,106.19
105,201987502675213,530.50
106,3577150091333880,210.79
107,3577150091333880,923.50
108,201987502675213,744.81
109,201987502675213,776.08
110,201987502675213,348.37
111,201987502675213,822.94
112,3577150091333880,404.07
113,3577150091333880,724.35
114,201987502675213,911.98
115,201987502675213,146.47
116,3577150091333880,988.48
117,3577150091333880,243.41
118,201987502675213,123.52
119,201987502675213,280.99
120,3577150091333880,794.86
121,201987502675213,814.25
122,3577150091333880,114.06
123,201987502675213,710.06
124,3577150091333880,358.20
125,3577150091333880,990.14
126,3577150091333880,337.79
127,201987502675213,578.05
128,201987502675213,600.89
129,3577150091333880,275.24
130,201987502675213,340.08
131,3577150091333880,452.75
132,201987502675213,977.88
133,3577150091333880,206.44
134,3577150091333880,443.47
135,201987502675213,549.78
136,3577150091333880,198.03
137,3577150091333880,482.24
138,3577150091333880,268.03
139,201987502675213,830.88
140,201987502675213,528.36
141,3577150091333880,695.11
142,3577150091333880,927.87
143,201987502675213,340.77
144,201987502675213,554.79
145,201987502675213,622.89
146,201987502675213,843.24
147,3577150091333880,276.76
148,3577150091333880,171.19
149,201987502675213,691.51
150,3577150091333880,738.59
151,201987502675213,605.98
152,201987502675213,918.00
153,3577150091333880,498.51
154,3577150091333880,491.27
155,3577150091333880,884.12
156,3577150091333880,148.25
157,3577150091333880,542.05
158,201987502675213,764.98
159,3577150091333880,750.76
160,201987502675213,258.32
161,201987502675213,823.07
162,201987502675213,876.67
163,3577150091333880,626.43
164,3577150091333880,145.73
165,201987502675213,512.44
166,3577150091333880,525.57
167,201987502675213,806.05
168,3577150091333880,936.72
169,3577150091333880,959.09
170,3577150091333880,839.62
171,201987502675213,407.83
172,3577150091333880,688.21
173,3577150091333880,928.96
174,201987502675213,187.74
175,201987502675213,991.25
176,201987502675213,871.27
177,3577150091333880,925.96
178,201987502675213,601.33
179,3577150091333880,560.41
180,201987502675213,737.20
181,201987502675213,621.28
182,3577150091333880,408.58
183,3577150091333880,267.16
184,201987502675213,906.61
185,3577150091333880,560.96
186,3577150091333880,803.42
187,3577150091333880,936.02
188,3577150091333880,799.89
189,201987502675213,444.37
190,201987502675213,403.26
191,3577150091333880,253.52
192,201987502675213,281.00
193,3577150091333880,908.66
194,3577150091333880,494.72
195,201987502675213,504.74
196,3577150091333880,719.08
197,201987502675213,763.64
198,201987502675213,729.26
199,201987502675213,580.93
200,3577150091333880,952.08
201,201987502675213,785.22
202,201987502675213,641.84
203,201987502675213,853.80
204,201987502675213,184.29
205,3577150091333880,750.96
206,3577150091333880,917.70
207,3577150091333880,700.72
208,201987502675213,589.07
209,3577150091333880,928.05
210,3577150091333880,895.72
211,201987502675213,650.40
212,201987502675213,715.97
213,201987502675213,965.06
214,201987502675213,385.51
215,3577150091333880,948.66
216,201987502675213,461.03
217,3577150091333880,656.40
218,3577150091333880,556.27
219,201987502675213,709.81
220,201987502675213,482.81
221,3577150091333880,280.40
222,201987502675213,689.15
223,201987502675213,244.41
224,201987502675213,712.58
225,3577150091333880,504.80
226,201987502675213,721.38
227,201987502675213,795.36
228,201987502675213,664.48
229,201987502675213,815.39
230,3577150091333880,561.26
231,3577150091333880,898.31
232,201987502675213,299.55
233,201987502675213,839.09
234,201987502675213,879.92
235,201987502675213,214.25
236,201987502675213,893.64
237,3577150091333880,899.47
238,3577150091333880,964.28
239,3577150091333880,737.03
240,3577150091333880,440.83
241,201987502675213,147.52
242,201987502675213,660.28
243,3577150091333880,797.86
244,201987502675213,429.10
245,201987502675213,680.80
246,201987502675213,844.12
247,3577150091333880,432.21
248,201987502675213,376.95
249,3577150091333880,330.09
250,201987502675213,703.50
251,201987502675213,300.95
252,3577150091333880,885.46
253,201987502675213,533.19
254,3577150091333880,183.08
255,201987502675213,705.51
256,3577150091333880,877.32
257,3577150091333880,537.85
258,3577150091333880,298.53
259,3577150091333880,637.79
260,3577150091333880,875.16
261,3577150091333880,297.30
262,3577150091333880,614.31
263,201987502675213,686.59
264,3577150091333880,107.58
265,201987502675213,191.40
266,201987502675213,440.27
267,201987502675213,300.02
268,3577150091333880,430.93
269,3577150091333880,912.07
270,201987502675213,691.42
271,3577150091333880,504.18
272,3577150091333880,583.94
273,3577150091333880,287.50
274,3577150091333880,270.63
275,3577150091333880,887.33
276,3577150091333880,908.77
277,201987502675213,394.22
278,3577150091333880,592.26
279,3577150091333880,647.11
280,3577150091333880,961.14
281,201987502675213,757.97
282,201987502675213,812.24
283,3577150091333880,930.77
284,3577150091333880,448.91
285,3577150091333880,812.73
286,3577150091333880,652.46
287,3577150091333880,428.13
288,201987502675213,348.02
289,201987502675213,307.13
290,3577150091333880,614.81
291,3577150091333880,559.86
292,201987502675213,206.83
293,3577150091333880,793.85
294,201987502675213,577.80
295,201987502675213,906.70
296,3577150091333880,770.48
297,3577150091333880,467.73
298,3577150091333880,526.67
299,201987502675213,955.63
300,3577150091333880,847.80
301,3577150091333880,182.01
302,3577150091333880,740.20
303,3577150091333880,629.67
304,201987502675213,806.75
305,3577150091333880,452.16
306,201987502675213,829.00
307,3577150091333880,765.67
308,3577150091333880,244.37
309,3577150091333880,605.63
310,201987502675213,193.99
311,201987502675213,195.22
312,3577150091333880,924.72
313,3577150091333880,756.39
314,201987502675213,403.79
315,201987502675213,933.27
316,3577150091333880,569.13
317,201987502675213,818.97
318,3577150091333880,385.13
319,3577150091333880,977.99
320,201987502675213,458.55
321,3577150091333880,726.07
322,3577150091333880,521.38
323,201987502675213,930.63
324,3577150091333880,118.04
325,201987502675213,463.96
326,201987502675213,292.88
327,201987502675213,109.30
328,201987502675213,104.45
329,201987502675213,851.97
330,3577150091333880,562.67
331,3577150091333880,248.64
332,3577150091333880,797.32
333,201987502675213,680.90
334,201987502675213,952.67
335,201987502675213,129.95
336,201987502675213,108.56
337,201987502675213,587.15
338,3577150091333880,780.48
339,201987502675213,298.20
340,201987502675213,708.12
341,201987502675213,868.60
342,201987502675213,453.35
343,201987502675213,380.38
344,3577150091333880,704.56
345,201987502675213,169.29
346,3577150091333880,461.07
347,3577150091333880,750.72
348,201987502675213,650.07
349,201987502675213,431.40
350,201987502675213,884.78
351,3577150091333880,313.09
352,201987502675213,589.53
353,201987502675213,751.07
354,201987502675213,260.17
355,3577150091333880,588.14
356,201987502675213,213.18
357,201987502675213,401.94
358,3577150091333880,374.80
359,201987502675213,417.75
360,3577150091333880,318.73
361,3577150091333880,520.18
362,3577150091333880,747.21
363,3577150091333880,603.29
364,3577150091333880,760.79
365,201987502675213,447.18
366,201987502675213,415.75
367,3577150091333880,248.87
368,3577150091333880,260.71
369,201987502675213,410.39
370,3577150091333880,628.12
371,201987502675213,579.44
372,201987502675213,696.89
373,3577150091333880,201.97
374,201987502675213,504.60
375,3577150091333880,388.32
376,201987502675213,683.33
377,201987502675213,483.12
378,201987502675213,492.06
379,201987502675213,823.56
380,3577150091333880,520.54
381,3577150091333880,437.71
382,3577150091333880,120.95
383,3577150091333880,371.15
384,3577150091333880,817.22
